Finnish;Finnish (Monikon Paikallissijat)
kuningatar (+lta / ltä);kuningattarilta
kuningatar (+lle);kuningattarille
jumalatar (+ssa / ssä);jumalattarissa
jumalatar (+sta / stä);jumalattarista
jumalatar (+lla / llä);jumalattarilla
jumalatar (+lta / ltä);jumalattarilta
jumalatar (+lle);jumalattarille
hattu (+ssa / ssä);hatuissa
hattu (+sta / stä);hatuista
hattu (+lla / llä);hatuilla
hattu (+lta / ltä);hatuilta
hattu (+lle);hatuille
kampa (+ssa / ssä);kammoissa
kampa (+sta / stä);kammoista
kampa (+lla / llä);kammoilla
kampa (+lta / ltä);kammoilta
kampa (+lle);kammoille
kauppa (+ssa / ssä);kaupoissa
kauppa (+sta / stä);kaupoista
kauppa (+lla / llä);kaupoilla
kauppa (+lta / ltä);kaupoilta
kauppa (+lle);kaupoille
tavoite (+ssa / ssä);tavoitteissa
tavoite (+sta / stä);tavoitteista
tavoite (+lla / llä);tavoitteilla
tavoite (+lta / ltä);tavoitteilta
tavoite (+lle);tavoitteille
hammas (+ssa / ssä);hampaissa
hammas (+sta / stä);hampaista
hammas (+lla / llä);hampailla
hammas (+lta / ltä);hampailta
hammas (+lle);hampaille
